claim_id,section,source_line,citation_keys,final_claim_text,original_assessment,final_assessment,scope_accurate,evidence_note,primary_source_urls,reviewer_type,checked_at,independent_human_review
c01,Introduction,144,lewis2020rag,"Retrieval-augmented generation (RAG) separates knowledge storage from generation by supplying retrieved passages as context. Lewis et al. improved several knowledge-intensive tasks with a retrievable Wikipedia index . RAG still permits parsing, retrieval and generation failures, so evaluation must examine each stage rather than one opaque answer score.",supported_with_minor_scope_risk,supported,yes,"The NeurIPS record supports the parametric/non-parametric architecture, retrieved Wikipedia passages and gains on knowledge-intensive tasks. The final wording avoids claiming that RAG itself guarantees inspectable proof.",https://papers.nips.cc/paper_files/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c02,Retrieval-augmented generation and evidence grounding,168,lewis2020rag,"Lewis et al. reported more specific and factual output than a parametric-only baseline . Their Wikipedia experiments do not directly solve scientific-document QA, where papers are long, heterogeneous and conditional. This work therefore exposes intermediate evidence rather than treating RAG as a guarantee against hallucination.",supported,supported,yes,"Lewis et al. report more specific and factual generation than a parametric-only baseline; the limitation to Wikipedia experiments is stated as this project's scope judgement, not as a result of the cited paper.",https://papers.nips.cc/paper_files/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c03,Retrieval-augmented generation and evidence grounding,170,li2023halueval; bouyamourn2023hallucinate; es2024ragas,"Hallucination is treated as content that conflicts with, or is unsupported by, supplied evidence. LLMs can produce and fail to recognise it , because unconstrained generation does not establish evidential truth . Retrieval reduces this risk only when context is relevant and used faithfully . The prompt therefore requires numbered citations, separate [Image] observations and abstention; code rejects citation indices outside the supplied sources.",partial,supported_after_revision,yes,HaluEval supports generation and recognition failures; Bouyamourn supports the evidential-closure argument. RAGAS was added for the requirement that retrieved context be relevant and used faithfully.,https://aclanthology.org/2023.emnlp-main.397/; https://aclanthology.org/2023.emnlp-main.192/; https://aclanthology.org/2024.eacl-demo.16/,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c04,"Sparse, dense and hybrid retrieval",175,robertson2009bm25; karpukhin2020dpr; reimers2019sbert,"BM25 provides a term-weighted lexical signal . Dense Passage Retrieval outperformed BM25 on several open-domain QA datasets , while Sentence-BERT made independently encoded text practical for similarity search . Their relative value in this specialist corpus is tested rather than assumed.",partial,supported_after_revision,yes,"The final text limits BM25 to a lexical term-weighting signal, retains DPR's reported open-domain comparisons, and describes SBERT's independently encoded similarity search. Corpus-specific superiority is no longer asserted.",https://www.nowpublishers.com/article/DownloadEBook/INR-019; https://aclanthology.org/2020.emnlp-main.550/; https://aclanthology.org/D19-1410/,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c05,"Sparse, dense and hybrid retrieval",177,cormack2009rrf,Hybrid retrieval combines these signals. RRF operates on rank positions rather than raw scores . This project compares it with weighted fusion because its FTS and dense scores are not naturally calibrated.,supported_with_uncited_method_rationale,supported_after_revision,yes,The Waterloo-hosted paper defines RRF over reciprocal ranks. The comparison with weighted fusion is now explicitly described as this project's calibration rationale.,https://cormack.uwaterloo.ca/cormacksigir09-rrf.pdf,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c06,"Scientific PDF parsing, chunking and metadata",184,shen2022vila; chen2023layout; blecher2023nougat,"Scientific PDF extraction depends on visual layout. VILA improves structured extraction with line or block groups , while cross-layout tests show degradation under publisher and layout-distribution shifts . Nougat instead uses visual OCR to reconstruct scientific markup . This prototype uses deterministic PyMuPDF extraction and preserves title, DOI, year, page, section and chunk ID for audit.",partial,supported_after_revision,yes,"VILA supports line/block layout grouping, Chen et al. report degradation under layout distribution shifts, and Nougat is a visual OCR-to-markup model. Unsupported claims about discipline shifts and unspecified compute cost were removed.",https://aclanthology.org/2022.tacl-1.22/; https://aclanthology.org/2023.findings-acl.844/; https://proceedings.iclr.cc/paper_files/paper/2024/file/a39a9aceda771cded859ae7560530e09-Paper-Conference.pdf,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c07,"Scientific PDF parsing, chunking and metadata",186,liu2021dense; liu2024lost,Short passages can lose document-level context and depend strongly on split choice ; simply retaining more text is not sufficient because models can miss evidence in the middle of long contexts . Four sizes and overlaps are therefore evaluated rather than assuming a universal default.,partial,supported_after_revision,yes,Dense Hierarchical Retrieval directly identifies local and partial context caused by passage splitting; Lost in the Middle reports poorer access to evidence placed mid-context. Generic chunk-quality claims were narrowed to these findings.,https://aclanthology.org/2021.findings-emnlp.19/; https://aclanthology.org/2024.tacl-1.9/,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c08,"Scientific PDF parsing, chunking and metadata",188,singh2023scirepeval,"This system indexes titles and sections as retrieval fields, while DOI, page and chunk identifiers form its audit trail. SciRepEval shows that scientific representations can struggle to generalise across classification, regression, ranking and search formats ; performance on this corpus is therefore measured directly.",partial,supported_after_revision,yes,"SciRepEval supports cross-format generalisation difficulty for scientific document representations. Titles, sections and provenance are now presented as system design choices rather than conclusions attributed to SciRepEval.",https://aclanthology.org/2023.emnlp-main.338/,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c09,RAG evaluation,193,es2024ragas; saadfalcon2024ares; amugongo2025healthcare,"End-to-end correctness cannot locate a failure. RAGAS separates context, faithfulness and answer quality ; ARES combines synthetic judge training with a small human-labelled set . A healthcare review found no standardised RAG evaluation framework . This study therefore separates retrieval, citation and repeated LLM judging over non-expert silver labels.",supported_with_broad_wording,supported_after_revision,yes,"RAGAS separates retrieval/context, faithful use and generation quality; ARES uses synthetic judge training plus a small human-labelled set. The healthcare review specifically reports a lack of standardised evaluation frameworks.",https://aclanthology.org/2024.eacl-demo.16/; https://aclanthology.org/2024.naacl-long.20/; https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c10,Multimodal scientific retrieval,200,radford2021clip; li2022blip; wu2024scimmir,"Contrastive Language--Image Pre-training (CLIP) demonstrated transferable image--text alignment at scale , while Bootstrapping Language--Image Pre-training (BLIP) improved both understanding and generation with filtered caption data . The Scientific Multi-Modal Information Retrieval (SciMMIR) benchmark nevertheless identifies a domain gap: scientific captions tend to describe results or principles rather than the activities and scenery common in generic images . For this reason, the first implementation uses Gemini Vision to produce question-aware observations and retrieval terms. These terms extend the audited text retriever instead of forming a separate vision index.",supported_with_broad_wording,supported_after_revision,yes,CLIP supports large-scale transferable image-text learning; BLIP supports filtered caption bootstrapping for understanding and generation. SciMMIR directly contrasts scientific captions with generic activities and scenery.,https://proceedings.mlr.press/v139/radford21a.html; https://proceedings.mlr.press/v162/li22n.html; https://aclanthology.org/2024.findings-acl.746/,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c11,Multimodal scientific retrieval,204,mattay2024mr; lena2021interleaved; rohfritsch2024ultrasound; ring2012infrared; lahiri2012medical; stanley2024acute,"MR thermometry supports real-time monitoring during focused-ultrasound procedures, but performance depends on acquisition, tissue composition and motion . Ultrasound backscattered-energy thermometry has measured liver heating through the ablative range, but remains tissue- and method-dependent . Infrared thermography is non-contact and maps surface temperature; standardisation and environmental control remain important . The assistant must therefore separate visible features, experimental measurements and clinically established conclusions.",partial,supported_after_revision,yes,"The final wording distinguishes real-time MR monitoring, the experimental and tissue-dependent ultrasound backscatter result, and non-contact surface infrared mapping with protocol/environment constraints. Cost and universal modality claims were removed. This is literature support, not clinical endorsement.",https://pubmed.ncbi.nlm.nih.gov/38123912/; https://pubmed.ncbi.nlm.nih.gov/34061390/; https://pubmed.ncbi.nlm.nih.gov/38850600/; https://pubmed.ncbi.nlm.nih.gov/22370242/; https://pubmed.ncbi.nlm.nih.gov/32288544/; https://pubmed.ncbi.nlm.nih.gov/38983367/,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c12,Interpretation of retrieval results,572,robertson2009bm25; karpukhin2020dpr; reimers2019sbert; cormack2009rrf,"RRF increased Recall@5 by 0.06 over lexical and 0.10 over dense search, supporting the literature distinction between exact term matching and semantic representation . Its MRR and nDCG@10 gains over dense retrieval were nominally detectable with very small unadjusted \(p\)-values, whereas no RRF--lexical difference was detected. The result supports rank fusion for this corpus , not a universal claim that hybrid retrieval is superior.",supported,supported,yes,"The cited papers distinguish lexical term weighting, independently encoded semantic representations and reciprocal-rank fusion. Numerical improvements and their corpus-specific boundary come from the saved project experiment.",https://www.nowpublishers.com/article/DownloadEBook/INR-019; https://aclanthology.org/2020.emnlp-main.550/; https://aclanthology.org/D19-1410/; https://cormack.uwaterloo.ca/cormacksigir09-rrf.pdf,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
c13,Interpretation of retrieval results,576,liu2021dense; liu2024lost,"The 350/50 index produced nominal gains in MRR, Recall@5 and nDCG@10 but expanded storage by 65\%. The literature identifies two related risks: splitting can remove document context, while longer input does not guarantee evidence use . Metadata did not uniformly improve dense retrieval, so future work should test section weighting and neighbouring-chunk expansion rather than assume prefixes are beneficial.",partial,supported_after_revision,yes,The paragraph now links the project's measured storage/accuracy trade-off to two supported risks: lost document context after splitting and unreliable use of evidence in long contexts. It no longer attributes improved focus to either paper.,https://aclanthology.org/2021.findings-emnlp.19/; https://aclanthology.org/2024.tacl-1.9/,AI-assisted primary-source semantic review (non-clinical),2026-08-10,not_performed
