doc_id,year,page_count,extracted_pages,actual_page_count,reading_order_correct,pages_complete,headings_and_sections_correct,header_footer_noise_acceptable,formula_table_corruption_acceptable,metadata_correct,decision,reviewer_notes,reference_stop_page,post_reference_section_pages,multi_section_pages,unknown_section_pages,table_pages,weak_table_pages
doc_0031_4bda51361ba6,2024,11,10,11,yes,yes,yes,yes,yes,yes,approved,repeated boundary text remains in stored content,10,,,,,
doc_0051_4bb12c2575bb,2022,6,6,6,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,page-level section labels are coarse on multi-section pages; repeated boundary text remains in stored content,6,,1;5,,,
doc_0053_aa4c39181eff,2022,16,16,16,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,page-level section labels are coarse on multi-section pages; some retained pages remain Unknown; minor parser-version block-order drift needs visual confirmation,,,2,1,,
doc_0055_111b28a13aeb,2021,35,29,35,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,some retained pages remain Unknown,29,,,1,,
doc_0073_f38b2046d965,2015,41,39,41,minor,yes,yes,minor,no,yes,needs_rebuild,"All 41 physical pages were visually inspected. Narrative text is present, but equation tokens are fragmented and complex tables lose row/column alignment; the affected mathematical and tabular evidence is not reliably retrievable.",39,,,,5;6;8;15;17;19;24;26;28;30,6;24;26;28
doc_0075_dacf30088862,2014,21,11,21,yes,minor,minor,yes,yes,yes,approved_with_minor_issues,"All 21 physical pages were visually inspected. The main article is retained, but supplemental figure pages placed after the reference list are excluded by the current stop-at-references rule.",12,,1,,,
doc_0077_fcc14440c29a,2006,5,4,5,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,page-level section labels are coarse on multi-section pages,4,,1,,,
doc_0096_cb7a1432bd79,2025,14,13,14,yes,yes,yes,yes,yes,yes,approved,repeated boundary text remains in stored content,13,,,,,
doc_0105_fc80f656c31a,2026,9,8,9,yes,yes,yes,yes,yes,yes,approved,repeated boundary text remains in stored content,8,,,,,
doc_0118_182cb25b8b7f,2026,6,5,6,yes,yes,yes,yes,yes,yes,approved,repeated boundary text remains in stored content,5,,,,,
doc_0123_03b8eb6879ec,2026,8,7,8,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,page-level section labels are coarse on multi-section pages; repeated boundary text remains in stored content,7,,1,,1,
doc_0129_49da321a78c8,2026,8,8,8,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,page-level section labels are coarse on multi-section pages; repeated boundary text remains in stored content,8,,1;5,,,
doc_0143_42b90b009452,2025,10,9,10,minor,yes,minor,minor,yes,yes,approved_with_minor_issues,"All 10 physical pages were visually inspected. Content is complete, but page 5 contains a full-width figure below two columns and its caption is linearised before the right-column continuation. Page-level section metadata is also coarse.",9,,,1,1,
doc_0173_3dbbc6c6025e,2022,13,12,13,yes,yes,minor,minor,yes,yes,approved_with_minor_issues,some retained pages remain Unknown; repeated boundary text remains in stored content,12,,,1,1,
doc_0193_f5c3325bf1dd,2023,13,12,13,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,page-level section labels are coarse on multi-section pages; some retained pages remain Unknown; repeated boundary text remains in stored content,12,,2,1,,
doc_0213_642b561c3861,2015,18,16,18,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,page-level section labels are coarse on multi-section pages; repeated boundary text remains in stored content,16,,1,,,
doc_0215_450a7bfd86f7,2015,9,8,9,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,page-level section labels are coarse on multi-section pages; repeated boundary text remains in stored content,8,,2,,,
doc_0219_8c4617ac7235,2015,22,10,22,yes,no,minor,minor,no,yes,needs_rebuild,"All 22 physical pages were visually inspected. Extraction stops on PDF page 10 while that page begins Results; substantial Results, Discussion and Conclusion content on later pages is omitted. The retained table also loses multiple cells.",10,16;18,1,,5,5
doc_0221_4ef4f83f61aa,2014,10,9,10,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,page-level section labels are coarse on multi-section pages; repeated boundary text remains in stored content,9,,1;3,,,
doc_0225_66a3add4208b,2012,8,8,8,yes,yes,minor,yes,yes,yes,approved_with_minor_issues,some retained pages remain Unknown; repeated boundary text remains in stored content,,,,1,,
doc_0227_eedf3ff1f93f,2010,10,9,10,minor,yes,yes,yes,no,yes,needs_rebuild,"All 10 physical pages were visually inspected. Body text is present, but Table I has reordered trailing cells and corrupted mathematical glyphs; numeric evidence cannot be trusted without table-aware re-extraction.",9,,,,5;8,
