stage,id,question,category,lexical_rank,dense_rank,hybrid_rank,reranked_rank,requires_human_label_review,mode,correctness,faithfulness,completeness,unsupported_claims,citation_precision,judge_reason,requires_human_scientific_review,source_rank,caption_coverage,citation_quality,unsupported_visual_inferences
retrieval,q004,How is thermal dose monitored or controlled in MRgFUS?,relevant_evidence_below_context_cutoff,17,19,9,10,True,,,,,,,,,,,,
retrieval,q008,What evidence is reported for focused ultrasound treatment of uterine fibroids?,reranker_demotion,1,2,2,7,True,,,,,,,,,,,,
retrieval,q009,How is focused ultrasound used for neuromodulation rather than ablation?,candidate_omission,,,,,True,,,,,,,,,,,,
retrieval,q011,What causes skin burns during HIFU treatment and how are they discussed?,candidate_omission,,,,,True,,,,,,,,,,,,
retrieval,q013,How do skull properties affect transcranial focused ultrasound treatment planning?,reranker_demotion,6,2,2,6,True,,,,,,,,,,,,
retrieval,q015,How are bioheat or thermal diffusion models used in focused ultrasound treatment planning?,candidate_omission,,,,,True,,,,,,,,,,,,
retrieval,q017,How do studies validate temperature predictions against measured temperature data?,candidate_omission,,,,,True,,,,,,,,,,,,
retrieval,q018,What frequencies are reported in focused ultrasound heating experiments?,candidate_omission,,,,,True,,,,,,,,,,,,
retrieval,q021,What imaging modalities are used to assess lesion formation after thermal ablation?,candidate_omission,17,,,,True,,,,,,,,,,,,
retrieval,q023,What does the literature report about blood-brain barrier opening with focused ultrasound?,candidate_omission,,,,,True,,,,,,,,,,,,
retrieval,q024,How do cavitation effects interact with heating during high-intensity focused ultrasound?,candidate_omission,,,,,True,,,,,,,,,,,,
retrieval,q027,What does the literature report about MRgFUS for essential tremor or Parkinson disease?,candidate_omission,,,,,True,,,,,,,,,,,,
retrieval,q028,How is focused ultrasound combined with immunotherapy or gene therapy?,relevant_evidence_below_context_cutoff,12,14,17,,True,,,,,,,,,,,,
retrieval,q035,What is reported about focused ultrasound for pain or bone metastases?,candidate_omission,,,,,True,,,,,,,,,,,,
retrieval,q039,How do optical fiber temperature sensors support focused ultrasound thermometry validation?,candidate_omission,,,,,True,,,,,,,,,,,,
retrieval,q040,What artifacts can affect temperature measurement during MRgFUS?,candidate_omission,2,,,19,True,,,,,,,,,,,,
retrieval,q043,What is reported about ultrasound-triggered drug delivery using focused ultrasound?,candidate_omission,,,,,True,,,,,,,,,,,,
generation,q003,What temperature range is reported for mild hyperthermia in focused ultrasound studies?,unsupported_claim,,,,,,llm_only,0.0,0.0,0.0,4.0,,The candidate states an incorrect temperature range of 42–45°C instead of 39–43°C as given in the reference answer.,True,,,,
generation,q003,What temperature range is reported for mild hyperthermia in focused ultrasound studies?,faithfulness_below_maximum,,,,,,llm_only,0.0,0.0,0.0,4.0,,The candidate states an incorrect temperature range of 42–45°C instead of 39–43°C as given in the reference answer.,True,,,,
generation,q003,What temperature range is reported for mild hyperthermia in focused ultrasound studies?,correctness_below_maximum,,,,,,llm_only,0.0,0.0,0.0,4.0,,The candidate states an incorrect temperature range of 42–45°C instead of 39–43°C as given in the reference answer.,True,,,,
generation,q005,What thermal and mechanical biological effects can focused ultrasound induce in tissue?,unsupported_claim,,,,,,llm_only,2.0,0.0,2.0,7.0,,"Factually accurate and complete based on general knowledge, but unsupported by retrieved evidence.",True,,,,
generation,q005,What thermal and mechanical biological effects can focused ultrasound induce in tissue?,faithfulness_below_maximum,,,,,,llm_only,2.0,0.0,2.0,7.0,,"Factually accurate and complete based on general knowledge, but unsupported by retrieved evidence.",True,,,,
generation,q007,What outcomes are reported for HIFU treatment of breast fibroadenomas?,faithfulness_below_maximum,,,,,,llm_only,1.0,1.0,1.0,0.0,,Provides high-level generic outcomes without specific quantitative study data.,True,,,,
generation,q007,What outcomes are reported for HIFU treatment of breast fibroadenomas?,correctness_below_maximum,,,,,,llm_only,1.0,1.0,1.0,0.0,,Provides high-level generic outcomes without specific quantitative study data.,True,,,,
generation,q008,What evidence is reported for focused ultrasound treatment of uterine fibroids?,unsupported_claim,,,,,,dense_rag,1.0,1.0,2.0,1.0,0.833,"Mentions delayed uterine rupture and septic shock citing source [4], which is not in the provided evidence chunk.",True,,,,
generation,q008,What evidence is reported for focused ultrasound treatment of uterine fibroids?,faithfulness_below_maximum,,,,,,dense_rag,1.0,1.0,2.0,1.0,0.833,"Mentions delayed uterine rupture and septic shock citing source [4], which is not in the provided evidence chunk.",True,,,,
generation,q008,What evidence is reported for focused ultrasound treatment of uterine fibroids?,correctness_below_maximum,,,,,,dense_rag,1.0,1.0,2.0,1.0,0.833,"Mentions delayed uterine rupture and septic shock citing source [4], which is not in the provided evidence chunk.",True,,,,
generation,q008,What evidence is reported for focused ultrasound treatment of uterine fibroids?,citation_support_gap,,,,,,dense_rag,1.0,1.0,2.0,1.0,0.833,"Mentions delayed uterine rupture and septic shock citing source [4], which is not in the provided evidence chunk.",True,,,,
generation,q008,What evidence is reported for focused ultrasound treatment of uterine fibroids?,faithfulness_below_maximum,,,,,,llm_only,1.0,1.0,1.0,0.0,,Provides general statements on efficacy and safety without specific clinical evidence details.,True,,,,
generation,q008,What evidence is reported for focused ultrasound treatment of uterine fibroids?,correctness_below_maximum,,,,,,llm_only,1.0,1.0,1.0,0.0,,Provides general statements on efficacy and safety without specific clinical evidence details.,True,,,,
generation,q009,How is focused ultrasound used for neuromodulation rather than ablation?,unsupported_claim,,,,,,dense_rag,1.0,1.0,2.0,1.0,0.833,"Candidate claims FUS is investigated for substance use disorder citing [5], but chunk [5] in this evidence set discusses essential tremor ablation, not substance use disorder.",True,,,,
generation,q009,How is focused ultrasound used for neuromodulation rather than ablation?,faithfulness_below_maximum,,,,,,dense_rag,1.0,1.0,2.0,1.0,0.833,"Candidate claims FUS is investigated for substance use disorder citing [5], but chunk [5] in this evidence set discusses essential tremor ablation, not substance use disorder.",True,,,,
generation,q009,How is focused ultrasound used for neuromodulation rather than ablation?,correctness_below_maximum,,,,,,dense_rag,1.0,1.0,2.0,1.0,0.833,"Candidate claims FUS is investigated for substance use disorder citing [5], but chunk [5] in this evidence set discusses essential tremor ablation, not substance use disorder.",True,,,,
generation,q009,How is focused ultrasound used for neuromodulation rather than ablation?,citation_support_gap,,,,,,dense_rag,1.0,1.0,2.0,1.0,0.833,"Candidate claims FUS is investigated for substance use disorder citing [5], but chunk [5] in this evidence set discusses essential tremor ablation, not substance use disorder.",True,,,,
generation,q013,How do skull properties affect transcranial focused ultrasound treatment planning?,unsupported_claim,,,,,,dense_rag,2.0,1.0,2.0,1.0,0.833,"The response is accurate and complete, but includes a detail defining SDR (ratio of trabecular to cortical bone HUs) that is missing from the retrieved evidence chunks for this task.",True,,,,
generation,q013,How do skull properties affect transcranial focused ultrasound treatment planning?,faithfulness_below_maximum,,,,,,dense_rag,2.0,1.0,2.0,1.0,0.833,"The response is accurate and complete, but includes a detail defining SDR (ratio of trabecular to cortical bone HUs) that is missing from the retrieved evidence chunks for this task.",True,,,,
generation,q013,How do skull properties affect transcranial focused ultrasound treatment planning?,citation_support_gap,,,,,,dense_rag,2.0,1.0,2.0,1.0,0.833,"The response is accurate and complete, but includes a detail defining SDR (ratio of trabecular to cortical bone HUs) that is missing from the retrieved evidence chunks for this task.",True,,,,
generation,q016,How are agar-based soft-tissue phantoms used to evaluate focused-ultrasound heating and MR thermometry?,unsupported_claim,,,,,,hybrid_reranked_rag,2.0,1.0,2.0,1.0,0.857,"Accurate and complete response, but includes one unsupported limitation claiming agar gels lack long-term stability and repeatability.",True,,,,
generation,q016,How are agar-based soft-tissue phantoms used to evaluate focused-ultrasound heating and MR thermometry?,faithfulness_below_maximum,,,,,,hybrid_reranked_rag,2.0,1.0,2.0,1.0,0.857,"Accurate and complete response, but includes one unsupported limitation claiming agar gels lack long-term stability and repeatability.",True,,,,
generation,q016,How are agar-based soft-tissue phantoms used to evaluate focused-ultrasound heating and MR thermometry?,citation_support_gap,,,,,,hybrid_reranked_rag,2.0,1.0,2.0,1.0,0.857,"Accurate and complete response, but includes one unsupported limitation claiming agar gels lack long-term stability and repeatability.",True,,,,
generation,q017,How do studies validate temperature predictions against measured temperature data?,correctness_below_maximum,,,,,,dense_rag,1.0,2.0,1.0,0.0,1.0,"Faithful to evidence, but focuses heavily on temperature measurement modalities rather than explicitly addressing how predictions/simulations are compared against empirical data.",True,,,,
generation,q020,How do temperature-dependent tissue properties affect simulated focused-ultrasound ablation and hyperthermia?,correctness_below_maximum,,,,,,hybrid_reranked_rag,1.0,2.0,1.0,0.0,1.0,"The answer correctly explains the mechanisms but omits the key specific numerical findings (e.g., 17.6%, 13%, 30%). | The answer accurately describes qualitative impacts supported by context but omits specific key percentage figures.",True,,,,
generation,q020,How do temperature-dependent tissue properties affect simulated focused-ultrasound ablation and hyperthermia?,correctness_below_maximum,,,,,,llm_only,1.0,2.0,0.0,0.0,,Provides vague high-level concepts but lacks all specific experimental data and numbers detailed in the reference answer. | Provides general domain knowledge without any paper-specific metrics or study findings.,True,,,,
generation,q022,How does MRI guidance help control focal position and thermal dose during MRgFUS?,unsupported_claim,,,,,,hybrid_reranked_rag,2.0,1.0,2.0,1.0,0.875,"Citation [5] is used to claim low-power test sonications produce reversible effects, which is not mentioned in retrieved document [5].",True,,,,
generation,q022,How does MRI guidance help control focal position and thermal dose during MRgFUS?,faithfulness_below_maximum,,,,,,hybrid_reranked_rag,2.0,1.0,2.0,1.0,0.875,"Citation [5] is used to claim low-power test sonications produce reversible effects, which is not mentioned in retrieved document [5].",True,,,,
generation,q022,How does MRI guidance help control focal position and thermal dose during MRgFUS?,citation_support_gap,,,,,,hybrid_reranked_rag,2.0,1.0,2.0,1.0,0.875,"Citation [5] is used to claim low-power test sonications produce reversible effects, which is not mentioned in retrieved document [5].",True,,,,
generation,q023,What does the literature report about blood-brain barrier opening with focused ultrasound?,unsupported_claim,,,,,,hybrid_reranked_rag,1.0,1.0,2.0,1.0,0.857,"The candidate answer mentions high-grade gliomas, which is not supported by the retrieved evidence text. | The answer includes high-grade gliomas in the clinical studies bullet point, which is absent from the provided retrieved context.",True,,,,
generation,q023,What does the literature report about blood-brain barrier opening with focused ultrasound?,faithfulness_below_maximum,,,,,,hybrid_reranked_rag,1.0,1.0,2.0,1.0,0.857,"The candidate answer mentions high-grade gliomas, which is not supported by the retrieved evidence text. | The answer includes high-grade gliomas in the clinical studies bullet point, which is absent from the provided retrieved context.",True,,,,
generation,q023,What does the literature report about blood-brain barrier opening with focused ultrasound?,correctness_below_maximum,,,,,,hybrid_reranked_rag,1.0,1.0,2.0,1.0,0.857,"The candidate answer mentions high-grade gliomas, which is not supported by the retrieved evidence text. | The answer includes high-grade gliomas in the clinical studies bullet point, which is absent from the provided retrieved context.",True,,,,
generation,q023,What does the literature report about blood-brain barrier opening with focused ultrasound?,citation_support_gap,,,,,,hybrid_reranked_rag,1.0,1.0,2.0,1.0,0.857,"The candidate answer mentions high-grade gliomas, which is not supported by the retrieved evidence text. | The answer includes high-grade gliomas in the clinical studies bullet point, which is absent from the provided retrieved context.",True,,,,
generation,q027,What does the literature report about MRgFUS for essential tremor or Parkinson disease?,unsupported_claim,,,,,,llm_only,2.0,0.0,2.0,5.0,,"Accurate based on general knowledge, but entirely unsupported as no retrieved evidence was provided.",True,,,,
generation,q027,What does the literature report about MRgFUS for essential tremor or Parkinson disease?,faithfulness_below_maximum,,,,,,llm_only,2.0,0.0,2.0,5.0,,"Accurate based on general knowledge, but entirely unsupported as no retrieved evidence was provided.",True,,,,
generation,q029,"In the breast-tumour simulation, how did uniformly mixed nanoparticles affect focused-ultrasound heating and necrotic damage?",unsupported_claim,,,,,,dense_rag,0.0,1.0,0.0,1.0,,Incorrectly abstained; retrieved chunk 1 explicitly details how uniform nanoparticle mixing affects thermal response and necrotic damage history.,True,,,,
generation,q029,"In the breast-tumour simulation, how did uniformly mixed nanoparticles affect focused-ultrasound heating and necrotic damage?",faithfulness_below_maximum,,,,,,dense_rag,0.0,1.0,0.0,1.0,,Incorrectly abstained; retrieved chunk 1 explicitly details how uniform nanoparticle mixing affects thermal response and necrotic damage history.,True,,,,
generation,q029,"In the breast-tumour simulation, how did uniformly mixed nanoparticles affect focused-ultrasound heating and necrotic damage?",correctness_below_maximum,,,,,,dense_rag,0.0,1.0,0.0,1.0,,Incorrectly abstained; retrieved chunk 1 explicitly details how uniform nanoparticle mixing affects thermal response and necrotic damage history.,True,,,,
generation,q032,How does tissue perfusion affect focused ultrasound hyperthermia control?,correctness_below_maximum,,,,,,llm_only,1.0,2.0,1.0,0.0,,"The response gives a correct general statement about tissue perfusion acting as a heat sink, but lacks specific details from the study. | The response correctly identifies perfusion as a heat sink mechanism, but lacks study-specific results without context.",True,,,,
generation,q033,What is reported about real-time feedback control in focused ultrasound hyperthermia?,correctness_below_maximum,,,,,,llm_only,1.0,2.0,1.0,0.0,,"The direct answer provides a high-level accurate overview, but missing specific experimental findings (such as PID control in Met-1 mouse tumors) due to absence of retrieved context. | The candidate provides a general summary of real-time feedback control without specific experimental details.",True,,,,
generation,q035,What is reported about focused ultrasound for pain or bone metastases?,correctness_below_maximum,,,,,,llm_only,1.0,2.0,1.0,0.0,,"Provides accurate general knowledge without context documents, but lacks specific details present in reference/retrieved papers.",True,,,,
generation,q036,How is acoustic power adjusted during MRgFUS treatment?,unsupported_claim,,,,,,llm_only,1.0,2.0,1.0,3.0,,Answers with general closed-loop feedback knowledge but misses the specific inverse problem / Green's function deconvolution methodology described in the reference answer.,True,,,,
generation,q036,How is acoustic power adjusted during MRgFUS treatment?,correctness_below_maximum,,,,,,llm_only,1.0,2.0,1.0,3.0,,Answers with general closed-loop feedback knowledge but misses the specific inverse problem / Green's function deconvolution methodology described in the reference answer.,True,,,,
generation,q038,What is reported about ultrasound-induced heating in bone or bone phantoms?,unsupported_claim,,,,,,llm_only,1.0,2.0,1.0,3.0,,"Provides general physics background regarding acoustic absorption and heating in bone, but lacks specific study parameters and empirical outcomes.",True,,,,
generation,q038,What is reported about ultrasound-induced heating in bone or bone phantoms?,correctness_below_maximum,,,,,,llm_only,1.0,2.0,1.0,3.0,,"Provides general physics background regarding acoustic absorption and heating in bone, but lacks specific study parameters and empirical outcomes.",True,,,,
generation,q039,How do optical fiber temperature sensors support focused ultrasound thermometry validation?,correctness_below_maximum,,,,,,dense_rag,0.0,2.0,0.0,0.0,1.0,"Correctly identifies that the retrieved evidence lacks information about optical fiber sensors and refrains from hallucinating, though the question is answerable in the benchmark.",True,,,,
generation,q039,How do optical fiber temperature sensors support focused ultrasound thermometry validation?,correctness_below_maximum,,,,,,hybrid_reranked_rag,1.0,2.0,1.0,0.0,1.0,"The answer correctly abstains as the retrieved evidence lacks details about optical fiber sensors, though it misses the specific reference fact. | The candidate correctly notes the retrieved text contains no information on optical fiber sensors.",True,,,,
generation,q039,How do optical fiber temperature sensors support focused ultrasound thermometry validation?,faithfulness_below_maximum,,,,,,llm_only,1.0,1.0,1.0,0.0,,"Provides accurate general knowledge about optical fiber sensors, but misses the specific baseline temperature/cumulative thermal dose function described in the ground truth. | Provides general domain knowledge regarding optical fiber sensors rather than the specific reference answer details.",True,,,,
generation,q039,How do optical fiber temperature sensors support focused ultrasound thermometry validation?,correctness_below_maximum,,,,,,llm_only,1.0,1.0,1.0,0.0,,"Provides accurate general knowledge about optical fiber sensors, but misses the specific baseline temperature/cumulative thermal dose function described in the ground truth. | Provides general domain knowledge regarding optical fiber sensors rather than the specific reference answer details.",True,,,,
generation,q040,What artifacts can affect temperature measurement during MRgFUS?,unsupported_claim,,,,,,hybrid_reranked_rag,1.0,1.0,2.0,1.0,0.5,Citation [4] in this retrieval set does not contain the cited claim regarding respiration motion artifacts.,True,,,,
generation,q040,What artifacts can affect temperature measurement during MRgFUS?,faithfulness_below_maximum,,,,,,hybrid_reranked_rag,1.0,1.0,2.0,1.0,0.5,Citation [4] in this retrieval set does not contain the cited claim regarding respiration motion artifacts.,True,,,,
generation,q040,What artifacts can affect temperature measurement during MRgFUS?,correctness_below_maximum,,,,,,hybrid_reranked_rag,1.0,1.0,2.0,1.0,0.5,Citation [4] in this retrieval set does not contain the cited claim regarding respiration motion artifacts.,True,,,,
generation,q040,What artifacts can affect temperature measurement during MRgFUS?,citation_support_gap,,,,,,hybrid_reranked_rag,1.0,1.0,2.0,1.0,0.5,Citation [4] in this retrieval set does not contain the cited claim regarding respiration motion artifacts.,True,,,,
generation,q041,How does the corneal focused-ultrasound simulation model tissue temperature rise?,unsupported_claim,,,,,,llm_only,1.0,0.0,1.0,2.0,,Provides generic high-level concepts without specific corneal simulation details or grounded evidence.,True,,,,
generation,q041,How does the corneal focused-ultrasound simulation model tissue temperature rise?,faithfulness_below_maximum,,,,,,llm_only,1.0,0.0,1.0,2.0,,Provides generic high-level concepts without specific corneal simulation details or grounded evidence.,True,,,,
generation,q041,How does the corneal focused-ultrasound simulation model tissue temperature rise?,correctness_below_maximum,,,,,,llm_only,1.0,0.0,1.0,2.0,,Provides generic high-level concepts without specific corneal simulation details or grounded evidence.,True,,,,
generation,q042,What does the expert opinion report about thermal ablation for selected low-risk papillary thyroid cancers?,correctness_below_maximum,,,,,,llm_only,1.0,2.0,1.0,0.0,,"Gives a generic response; misses specific meta-analysis findings on tumor volume reduction, disappearance rates, and surgical comparisons.",True,,,,
generation,q045,How did the ultrasound-guided FUS system use thermal strain imaging to monitor mild hyperthermia?,correctness_below_maximum,,,,,,llm_only,1.0,2.0,1.0,0.0,,Provides a generic explanation of TSI mechanisms instead of the specific study's calibration method and error results.,True,,,,
generation,q046,What did simulations report about focused-ultrasound-induced acoustic streaming for drug transport in breast and abdominal tumour models?,correctness_below_maximum,,,,,,llm_only,0.0,2.0,0.0,0.0,,"The answer abstains from answering because no retrieved context was provided, even though the question was answerable.",True,,,,
generation,u06,Who is the current prime minister of Canada?,failed_abstention,,,,,,llm_only,0.0,0.0,0.0,1.0,,"Failed to abstain on an unanswerable query without context, providing an unverified answer.",True,,,,
generation,u06,Who is the current prime minister of Canada?,unsupported_claim,,,,,,llm_only,0.0,0.0,0.0,1.0,,"Failed to abstain on an unanswerable query without context, providing an unverified answer.",True,,,,
generation,u08,How should a damaged electric vehicle battery be repaired?,failed_abstention,,,,,,llm_only,0.0,1.0,0.0,3.0,,Failed to abstain on an unanswerable prompt without supporting evidence.,True,,,,
generation,u08,How should a damaged electric vehicle battery be repaired?,unsupported_claim,,,,,,llm_only,0.0,1.0,0.0,3.0,,Failed to abstain on an unanswerable prompt without supporting evidence.,True,,,,
generation,u10,Which antibiotic and dose should be prescribed for bacterial pneumonia?,failed_abstention,,,,,,llm_only,1.0,0.0,1.0,1.0,,"States it cannot prescribe, but proceeds to offer general antibiotic treatment options without supporting evidence.",True,,,,
generation,u10,Which antibiotic and dose should be prescribed for bacterial pneumonia?,unsupported_claim,,,,,,llm_only,1.0,0.0,1.0,1.0,,"States it cannot prescribe, but proceeds to offer general antibiotic treatment options without supporting evidence.",True,,,,
